,AL_L,AL_R,AME_L,AMMC_L,AMMC_R,AOTU_L,AOTU_R,ATL_L,ATL_R,AVLP_L,AVLP_R,CRE_L,CRE_R,EB,FB,FLA_L,FLA_R,GNG,IB_L,IB_R,ICL_L,ICL_R,IPS_L,IPS_R,LAL_L,LAL_R,LA_L,LA_R,LH_L,LH_R,LOP_L,LOP_R,LO_L,LO_R,MB_CA_L,MB_CA_R,MB_ML_L,MB_ML_R,MB_VL_L,MB_VL_R,ME_L,ME_R,NO,OCG,PB,PLP_L,PLP_R,PRW,PVLP_L,PVLP_R,SAD,SCL_L,SCL_R,SIP_L,SIP_R,SLP_L,SLP_R,SMP_L,SMP_R,SPS_L,SPS_R,VES_L,VES_R,WED_L,WED_R
AVLP_R,2.4746090568552157,2.3737275892016014,1.3588706042551766,2.149026060470298,2.206543832512655,1.4059390397930964,1.399590326693247,1.6921759893254271,1.3816979491335686,1.8692970616266569,1.7769133911706343,1.318627384101852,1.3353325782396148,1.3305243856224136,1.360789893209752,1.7836197097379969,1.6796146251823068,1.953927593964977,1.3628871746186297,1.3629519270276371,1.3570936864666239,1.3509059256351466,1.5416574779507908,1.5514917975785438,1.373477187311977,1.4061010036435675,1.6774467527844994,1.7649059040778299,1.4186567209760044,1.429030034851711,1.3573897625517048,1.3687833744713471,1.3602140617421552,1.3736491086698321,1.331206670228963,1.3716779428970236,1.4257334740365943,1.604277999842634,1.3903332905231134,1.6538081007826089,1.4211580574874387,1.4003020887624973,1.3741291166821046,1.5461359203725393,1.3662611825065887,1.40870228406412,1.3934829902919417,1.75460558177774,1.4200412979119634,1.440660946651602,1.9907173337358819,1.372352719066069,1.4079577993826906,1.320993382167809,1.3440368690780233,1.3592310631735767,1.3692253870810174,1.376871785237132,1.3682612206798825,1.394743159882831,1.3827243572448804,1.4354688694147337,1.625228877498812,1.511339233446213,1.5284275688347153
CRE_L,2.3408032963545455,2.233072480923275,0.8823520002830935,2.0249907952949617,2.0932202138315765,0.843498114680545,0.8263635599154275,1.2318161713603257,0.6889427084035171,1.441994267044738,1.318627384101852,0.5681526613610822,0.5926059980547734,0.6757708174800324,0.6531796532268139,1.4807604208106677,1.3078934030249616,1.6643617873037546,0.6526612578850429,0.6259402922249703,0.6327477860661429,0.634102965151114,1.0332065372005361,1.0506890098719588,0.6869282938518476,0.7698853354050632,1.504634895843135,1.5947101234023082,0.730148657293159,0.7220861343508953,0.6473298169186648,0.6600686643293949,0.6929427965539026,0.688162432371509,0.7865245623117011,0.9118805647503263,0.9879774985655244,1.2552081868142912,0.8350190434228932,1.3141776988134892,0.8523715829642223,0.7968797054687009,0.7224131522640542,1.3382536610985556,0.6433761890519551,0.7635916707756958,0.7245650117482477,1.4095474307707052,0.7218667741443265,0.7615089416847625,1.7404161403675826,0.714669527227431,0.769854947838777,0.5859869721808426,0.6593795700734217,0.6592940376148413,0.651382446960046,0.7271308107127067,0.7059322805480154,0.7414214397455561,0.7148045720007541,0.7899131686562937,1.158303172856439,0.9406852674463437,0.9988311986232586
CRE_R,2.3498341499638573,2.240646423962882,0.9062947227820937,2.0337356374043574,2.10235924544185,0.8773383230670789,0.8577740446182527,1.2523938501226106,0.6924590737068798,1.4517735661385798,1.3353325782396148,0.5926059980547734,0.6115956107861297,0.707735843123943,0.680350641745836,1.4858175364753146,1.3221650012436492,1.6871081151801872,0.6879682468926043,0.6622425182981748,0.6541565266232399,0.6546427614892933,1.0552148721313515,1.0785752633702639,0.719591346345797,0.7964450849692012,1.4995620195713766,1.5901479088290904,0.7401540785762781,0.7260831310524725,0.6978263752500686,0.7072377611163604,0.7447989329914191,0.7415936276022861,0.7822865847778092,0.9009708847276698,0.9993709730749315,1.2781062446019626,0.8613914710725308,1.3390552988020834,0.8926617805904953,0.8436189460561244,0.7439216785809873,1.335554701323496,0.677797761944193,0.800928378286122,0.7659405726313803,1.4289486319383837,0.757430709896987,0.8028988301244693,1.7658482373427975,0.7523175733467226,0.7993829296692698,0.6277009392025598,0.6926677860931281,0.6914214105181302,0.6744611088172686,0.7617664356055366,0.7399757643512678,0.7689240081269119,0.7441124936689969,0.8049009259054533,1.1815839976892082,0.9507499174658223,1.022543051280853
EB,2.370484107581078,2.2596964418157572,0.833176777214785,1.9632127710003335,2.0530867956878236,0.7183468621174051,0.7195619886943527,1.2630736617012934,0.8379917595220324,1.4698222687931128,1.3305243856224136,0.6757708174800324,0.707735843123943,0.6373711463058572,0.7327245906000948,1.4964119190528438,1.3403719009267514,1.6152414310236458,0.683647547748275,0.6818014593876109,0.7359683880391503,0.744648368545352,1.0598006186134883,1.0590026554395033,0.7255324871825806,0.8115110031352395,1.6034669508792976,1.676423969093132,0.8356705904026006,0.8279339742142422,0.6774561258136905,0.7087986358715457,0.667729653941995,0.6845476252847509,0.8550612373637988,1.0142684744763741,1.0708262347447342,1.3066312448257114,0.894331850417244,1.360092731439191,0.8032725281616396,0.7262398240761029,0.6253364929183255,1.4125271749726018,0.6741867628974413,0.7900265943372303,0.7448766466488129,1.3960629175586179,0.753717674601756,0.7704940429156861,1.6556140992177972,0.7545033685258566,0.825458506007875,0.6409550356914318,0.7181070709355346,0.7266371988508147,0.7399018201330244,0.7649030374371435,0.7525799800372144,0.7911825546896091,0.7656332061848693,0.8414165035678312,1.1451214475939802,0.9988506691264205,1.020962514854693
FB,2.3738439257349477,2.2613059959573536,0.9243866698181533,2.0290091882305554,2.109327792681916,0.9147015880355399,0.90686753911756,1.278206702781523,0.7461293357242696,1.474606401190875,1.360789893209752,0.6531796532268139,0.680350641745836,0.7327245906000948,0.7584886648699657,1.4917023359795434,1.338782922902119,1.70112928933596,0.7341374691179158,0.7286067001862562,0.7144008690906958,0.7153292264774616,1.0826791092341255,1.1073482496468123,0.7762059743486871,0.8480064399802985,1.5678226438296388,1.64954392496548,0.8105444712613362,0.8055580688158602,0.8256445829323967,0.8367938782132267,0.8552136788038982,0.8508904537435403,0.8099532709508556,0.9310115349008274,1.0693530500433484,1.345825616938019,0.9280953113979536,1.4049442723056205,0.9783186695845825,0.929021843884077,0.8070704169117916,1.4023990833594042,0.7835551722571268,0.839770079736122,0.8019872747690401,1.4428723256702378,0.815041204094429,0.8558434705406238,1.7617907119780138,0.7918102444830498,0.8426501307779835,0.6613705095316786,0.7249807489659253,0.7442150969536767,0.7373127322790133,0.8005597942007588,0.7824058224825947,0.8217569831226568,0.7997987529127503,0.8729693226172226,1.2194362404709005,0.9912638539230226,1.050676328502082
FLA_L,2.339856589494787,2.250091003384628,1.4802474506943486,2.0460050909237424,2.0920673078967926,1.5416853396396213,1.5393246360251223,1.7074339165513055,1.5446632880595121,1.9243506499737781,1.7836197097379969,1.4807604208106677,1.4858175364753146,1.4964119190528438,1.4917023359795434,1.8305299037444545,1.6996580531652,1.8561440891295566,1.5087769215838853,1.5002662470351344,1.493930021049182,1.4889052805350962,1.610797482037373,1.5840609148892733,1.5060899642607082,1.532723932944121,1.7160052038799465,1.8009498335230676,1.5539454372963601,1.546073116610537,1.5138936115134194,1.5200874246931901,1.5204151326336284,1.5239817687212287,1.4541749862843132,1.4932449282882863,1.4723396560852475,1.5358456252246837,1.4767083627762783,1.5623989365478623,1.5486900750922918,1.5238509075707343,1.5279012263569367,1.6431049377052744,1.5320702316712402,1.5207347548044403,1.5007768994468493,1.739223000870988,1.5462037076868727,1.5440356248420746,1.8761889927555697,1.4844406767534706,1.5003066884383158,1.4693032662302146,1.4850169582458217,1.4871162220343368,1.5003876410036068,1.4978303422005275,1.492700748356963,1.526890599278893,1.5111306551618118,1.5401492238936496,1.628075427570414,1.5913345567596793,1.574666506827845
FLA_R,2.2587641302308428,2.1647674338819898,1.3315638609803038,2.012118210638124,2.0556401817962606,1.4714195405737265,1.4696243970663485,1.558035314093989,1.3840498739881248,1.8253377614963027,1.6796146251823068,1.3078934030249616,1.3221650012436492,1.3403719009267514,1.338782922902119,1.6996580531652,1.5846704997560024,1.773437937215686,1.3678762117121,1.3611193741719483,1.337555487646806,1.331714168117388,1.4656603305069529,1.4444568297766203,1.3532737196341962,1.3849562236117035,1.7230906977101648,1.809298679173265,1.4093570318756825,1.412818367727273,1.4089653566549216,1.4117799984756518,1.4419725801056367,1.4369639160052228,1.2906925638022952,1.3075751991135636,1.286987245179073,1.3708418473859336,1.3012822918635532,1.4042070485526494,1.4865253223125252,1.4577752185067918,1.449624483562398,1.644348169580876,1.4103499858886477,1.3650636702896477,1.3412221154044404,1.6239915328073724,1.4320247437874276,1.441557127458683,1.8017651239141106,1.310683642347866,1.3380054431934538,1.2923076854256532,1.3136783796491445,1.3222449219292,1.3493304239087764,1.3305464863409786,1.3256851504474971,1.377230968421438,1.3644846884520019,1.406132709465677,1.5099830520080029,1.4668093019037853,1.4361577883206693
GNG,2.445516354627789,2.3537420798330553,1.5728758555129836,2.0330023988282155,2.09596073317804,1.6168577070884789,1.6118915240180687,1.9205399283527942,1.6954829908701596,2.0419566547836743,1.953927593964977,1.6643617873037546,1.6871081151801872,1.6152414310236458,1.70112928933596,1.8561440891295566,1.773437937215686,1.9998481283317784,1.6756081178972468,1.6971243816053243,1.6842145285706613,1.6758757959722348,1.7787417315338176,1.7810656318283937,1.6922776255132623,1.7059992574182588,1.6350367242942876,1.7003523306559727,1.726662677705514,1.7478001049578082,1.6996454455098176,1.7146382014630246,1.6423884501324848,1.6690300549494328,1.5135622477072368,1.5367429649081692,1.6225238340799697,1.758566516503813,1.620798415256108,1.8005321246022175,1.6396257683298707,1.6315284629234763,1.5883515503898207,1.5375858891560827,1.7217372703909646,1.6803015507131265,1.6716633663956812,1.861355770312366,1.7003166291437142,1.7046783104052754,2.001112743867722,1.6650933546483835,1.701456366924255,1.644028792068705,1.6532798643777213,1.6780539312588578,1.6938770833713466,1.6686219929541817,1.6651988050340651,1.7000065131079776,1.6897652019647875,1.7514694146011514,1.840959646883821,1.7467538059306955,1.7593655519014582
IB_L,2.3897396726265803,2.2740267701345473,0.846155833062028,2.0026798816011198,2.0905026560198645,0.8809532113544302,0.8839262031096522,1.2834434498985414,0.7843744879487508,1.4765484983081651,1.3628871746186297,0.6526612578850429,0.6879682468926043,0.683647547748275,0.7341374691179158,1.5087769215838853,1.3678762117121,1.6756081178972468,0.7172481889052759,0.695221125169963,0.733171153998778,0.7383328641841147,1.080132039727831,1.1010843014931648,0.7433124557903967,0.8214524834863279,1.564202691178809,1.6506195938581036,0.8143696745069733,0.81925406765379,0.6839699620426023,0.7022748258003373,0.7676484032273914,0.7581321403366437,0.8635072452073412,0.9699848459511131,1.07148525793204,1.34129024694967,0.9052084598195631,1.395494868986998,0.924375264331085,0.8696244900088603,0.8109676220560051,1.3666441319499059,0.6715726333776053,0.8256955964772779,0.7882447810690962,1.43010089120312,0.7935112182954703,0.8352960053618984,1.7292935131930185,0.784772080424375,0.8535983720221834,0.6475669399337655,0.7193621196065312,0.7386597643212446,0.7441869807725756,0.7862681258760946,0.768322530839118,0.8007225275153779,0.7785898956341797,0.8467395871820074,1.1969136171883423,0.9954044625125266,1.0545167308485104
IB_R,2.396767950539141,2.280002787144525,0.8692304489478718,2.0171965300781074,2.1048213074615307,0.8869416252086643,0.8873146956939644,1.2822223669434942,0.748091406785592,1.4707815528232422,1.3629519270276371,0.6259402922249703,0.6622425182981748,0.6818014593876109,0.7286067001862562,1.5002662470351344,1.3611193741719483,1.6971243816053243,0.695221125169963,0.7007169976946982,0.7137032065527139,0.7191843876750914,1.0779135961966657,1.105119552597376,0.737216123481321,0.8158601048582772,1.5664074930781817,1.650778138895574,0.7909842081795696,0.7946695078079329,0.7340674231377359,0.7500471304966868,0.8060635239813922,0.7965405172644731,0.8255328140232129,0.9410603465233117,1.069579360953256,1.3517315464528075,0.9208904856336327,1.4086418292093577,0.9518794953554556,0.9009530575471796,0.7994104245446446,1.3744637818511427,0.6858788059108281,0.8272356695095084,0.790054050634382,1.442045486396403,0.7874318729700974,0.8353210326986491,1.7508953740166986,0.7833527395394204,0.8493054807016918,0.6287575881370888,0.6995305210988748,0.7258772459947116,0.7272883904140225,0.779771472343699,0.7611705853570384,0.7923290724460627,0.7715066094062617,0.8393409733440933,1.2090847185597815,0.9811581149491747,1.052823096853168
ICL_L,2.3324263268617296,2.2236472586025773,0.9064947711009498,2.02946921153788,2.092459034982023,0.920404333079443,0.9037625453357052,1.2503645121321714,0.7366012961927897,1.4762566525072847,1.3570936864666239,0.6327477860661429,0.6541565266232399,0.7359683880391503,0.7144008690906958,1.493930021049182,1.337555487646806,1.6842145285706613,0.733171153998778,0.7137032065527139,0.7056614869193577,0.7028721064693984,1.0688327392499752,1.0881991078646958,0.7525983702244646,0.8247025668468327,1.507606926849026,1.6005529039952349,0.7842829820249345,0.7793292432108945,0.7308194192432449,0.738979872270025,0.787697079396359,0.7833100627790458,0.8231812002462634,0.9317380777814671,0.9908428758590855,1.252500052629688,0.8662122846285113,1.3092418369001932,0.9297055666867586,0.8835111746876843,0.8099329016173191,1.3483040187169737,0.7156609120083189,0.8328228770998125,0.7983665075569055,1.4291796275329784,0.8110934824324726,0.854911454102858,1.761613903668842,0.7748212870999662,0.8252194703589615,0.6584008330547545,0.7186509782203546,0.7241586992156859,0.722506729909916,0.7831953125819217,0.763105335411883,0.7986016739297888,0.7770385293965054,0.8416185037508845,1.1912976687218655,0.9812799177167554,1.0396499684294076
ICL_R,2.320278495751592,2.212178775885019,0.9112406981237825,2.024799254209406,2.0856593954278693,0.9350615250854853,0.9181490368621621,1.2408837440607958,0.7321993599061172,1.4730555719913352,1.3509059256351466,0.634102965151114,0.6546427614892933,0.744648368545352,0.7153292264774616,1.4889052805350962,1.331714168117388,1.6758757959722348,0.7383328641841147,0.7191843876750914,0.7028721064693984,0.703374170276568,1.0641674697774874,1.0822503946385449,0.7534561773466317,0.8252942143310132,1.509407668778244,1.6021521257080356,0.7802968878652803,0.7741253506643713,0.7464163830346169,0.753197032338014,0.8039814306794283,0.7978929101289824,0.8196394959615888,0.9241506171127806,0.9767246317385451,1.2325086634476412,0.8554476498098178,1.2894322511904408,0.9419176183719796,0.8959904758735775,0.8223998326794458,1.3567836184271578,0.7264957908359646,0.8298225604807123,0.7944780837719524,1.4221199872478114,0.8151853834365483,0.8593556052971948,1.7554157359554503,0.7692657487462969,0.8187843848121744,0.660334194726905,0.7195367126621167,0.7214052471117233,0.721319892815671,0.7808262467423074,0.7608429681797633,0.7994316885365687,0.7783519742969693,0.8406726755630387,1.1860409244782115,0.9773111420904435,1.0338120646771165
